Dataset,Horizon,Pattern,SARAF_Matched,CandidatePrior,Learned,Shuffled
ETTh1,24,0.9308,,1.1888,0.782,1.0593
ETTh1,48,1.0527,,1.1882,0.8679,1.2434
ETTh1,96,1.1959,,1.2183,0.9954,1.3874
Weather,24,0.3963,,0.1375,0.3565,0.315
Weather,48,0.7132,,0.1988,0.5772,0.5607
Weather,96,0.9131,,0.2579,0.8063,0.6277
Electricity,24,0.4138,0.4807,0.3469,0.336,0.4381
Electricity,48,0.4557,0.5322,0.3828,0.3753,0.5025
Electricity,96,0.4771,0.5522,0.4118,0.3924,0.5545
Traffic,24,0.8557,1.0578,0.9088,0.8163,1.1204
Traffic,48,0.8691,1.071,0.9157,0.8609,1.0889
Traffic,96,0.8751,1.0444,0.9057,0.8634,1.0919
Exchange,24,0.0587,0.0581,0.0249,0.0466,0.0443
Exchange,48,0.111,0.1132,0.0484,0.093,0.0894
Exchange,96,0.212,0.2185,0.0989,0.2012,0.1999
Solar,24,0.305,0.4769,0.4081,0.2034,0.8833
Solar,48,0.5253,0.9385,0.8337,0.3529,1.1849
Solar,96,0.6662,1.0954,1.0164,0.4713,1.316
