Dataset,Horizon,Pattern,PatternPlusContext,ShuffledMLP,LearnedMLP
Electricity,24,0.4138,0.3859,0.4381,0.336
Electricity,48,0.4557,0.422,0.5025,0.3753
Electricity,96,0.4771,0.437,0.5545,0.3924
Traffic,24,0.8557,0.8277,1.1204,0.8163
Traffic,48,0.8691,0.8537,1.0889,0.8609
Traffic,96,0.8751,0.868,1.0919,0.8634
Exchange,24,0.0587,0.0568,0.0443,0.0466
Exchange,48,0.111,0.1078,0.0894,0.093
Exchange,96,0.212,0.2086,0.1999,0.2012
Solar,24,0.305,0.2921,0.8833,0.2034
Solar,48,0.5253,0.4803,1.1849,0.3529
Solar,96,0.6662,0.6102,1.316,0.4713
