Dataset,Horizon,RawCosine,PatternPearson,AnchoredL2,SpectralCosine,SARAF_Matched,Learned
Electricity,24,0.3909,0.4138,0.2918,0.5877,0.4807,0.336
Electricity,48,0.4252,0.4557,0.3214,0.6325,0.5322,0.3753
Electricity,96,0.4495,0.4771,0.3358,0.706,0.5522,0.3924
Traffic,24,0.8585,0.8557,0.8208,1.1801,1.0578,0.8163
Traffic,48,0.8726,0.8691,0.8449,1.1234,1.071,0.8609
Traffic,96,0.8736,0.8751,0.8486,1.1489,1.0444,0.8634
Exchange,24,0.0561,0.0587,0.0433,0.055,0.0581,0.0466
Exchange,48,0.1048,0.111,0.0855,0.1041,0.1132,0.093
Exchange,96,0.2165,0.212,0.1817,0.2027,0.2185,0.2012
Solar,24,0.368,0.305,0.3114,0.6766,0.4769,0.2034
Solar,48,0.5418,0.5253,0.5004,2.1285,0.9385,0.3529
Solar,96,0.5915,0.6662,0.5334,2.9222,1.0954,0.4713
