Dataset,Horizon,CoverageAt10,FullL2,L2WithinPattern100,PoolPenaltyFraction,OursVsP100L2Fraction
Electricity,24,0.911,0.2918,0.2964,0.016,-0.134
Electricity,48,0.912,0.3214,0.3268,0.017,-0.148
Electricity,96,0.912,0.3358,0.3429,0.021,-0.144
Traffic,24,0.977,0.8208,0.8189,-0.002,0.003
Traffic,48,0.978,0.8449,0.8417,-0.004,-0.023
Traffic,96,0.979,0.8486,0.8453,-0.004,-0.021
Exchange,24,0.846,0.0433,0.0427,-0.014,-0.092
Exchange,48,0.846,0.0855,0.0836,-0.022,-0.113
Exchange,96,0.85,0.1817,0.1772,-0.025,-0.136
Solar,24,0.89,0.3114,0.2795,-0.102,0.272
Solar,48,0.893,0.5004,0.4415,-0.118,0.201
Solar,96,0.894,0.5334,0.4848,-0.091,0.028
