Horizon,Method,AnalogFutureMSE,ForecastMSE,TerminalMAE
1,Same Pattern,0.001138,0.000673,0.016716
1,Same Learned,0.000832,0.000643,0.01609
1,Cross Pattern,0.001151,0.000684,0.016967
1,Cross Learned,0.000748,0.000635,0.01597
5,Same Pattern,0.003238,0.001836,0.036734
5,Same Learned,0.002322,0.001746,0.035471
5,Cross Pattern,0.003278,0.001873,0.037358
5,Cross Learned,0.002043,0.00172,0.035167
20,Same Pattern,0.010466,0.006006,0.073744
20,Same Learned,0.007763,0.005785,0.072009
20,Cross Pattern,0.010529,0.006071,0.074459
20,Cross Learned,0.006767,0.005629,0.070802
