Dataset,Backbone,Horizon,MSEGain_pct,DirectMSE,FinalMSE,DirectMAE,FinalMAE,MSESource,MAESource,DirectMSE_recovered,FinalMSE_recovered,DirectMAE_recovered,FinalMAE_recovered,RecoverySource,RecoveredGain_pct,GainMismatch,DirectMSE_final,FinalMSE_final,DirectMAE_final,FinalMAE_final,MSEMetricSource,MAEMetricSource,AbsoluteMSEImprovement,RecomputedMSEGain_pct,GainConsistencyError
ETTh1,PatchTST,96,-1.0907300656695451,0.3786316784322797,,0.4003025335726233,,Missing,Missing,0.3786316784322797,0.3827615279870898,0.4003025335726233,0.4050318067579521,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,-1.0907300656695451,0.0,0.3786316784322797,0.3827615279870898,0.4003025335726233,0.4050318067579521,HistoricalRecovery,HistoricalRecovery,-0.0041298495548101055,-1.0907300656695451,0.0
ETTh1,PatchTST,192,-1.6767799177179168,0.4136943163724244,,0.420977502773663,,Missing,Missing,0.4136943163724244,0.4206310595900976,0.420977502773663,0.4291802018568935,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,-1.6767799177179168,0.0,0.4136943163724244,0.4206310595900976,0.420977502773663,0.4291802018568935,HistoricalRecovery,HistoricalRecovery,-0.006936743217673236,-1.6767799177179168,0.0
ETTh1,PatchTST,336,-1.466893667154631,0.4419843267652349,,0.4414341190750536,,Missing,Missing,0.4419843267652349,0.4484677668643702,0.4414341190750536,0.4489392161954034,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,-1.4668936671546313,2.220446049250313e-16,0.4419843267652349,0.4484677668643702,0.4414341190750536,0.4489392161954034,HistoricalRecovery,HistoricalRecovery,-0.0064834400991352625,-1.4668936671546313,2.220446049250313e-16
ETTh1,PatchTST,720,-3.931421178606831,0.4615096175155673,,0.4738671277080254,,Missing,Missing,0.4615096175155673,0.4796535043598817,0.4738671277080254,0.4896009953455276,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,-3.931421178606831,0.0,0.4615096175155673,0.4796535043598817,0.4738671277080254,0.4896009953455276,HistoricalRecovery,HistoricalRecovery,-0.018143886844314394,-3.931421178606831,0.0
ETTh1,SegMoE,96,-1.0528517026198552,0.4296767951906189,0.4342006546445458,0.4379326154902014,0.4417802844073558,Experiment37Selected,Experiment37Selected,,,,,,,,0.4296767951906189,0.4342006546445458,0.4379326154902014,0.4417802844073558,Experiment37Selected,Experiment37Selected,-0.004523859453926915,-1.052851702619868,1.2878587085651816e-14
ETTh1,SegMoE,192,-2.2644698052078662,0.4816947292812827,0.4926025609791352,0.4730623077221267,0.48006851514093,Experiment37Selected,Experiment37Selected,,,,,,,,0.4816947292812827,0.4926025609791352,0.4730623077221267,0.48006851514093,Experiment37Selected,Experiment37Selected,-0.010907831697852477,-2.2644698052078778,1.1546319456101628e-14
ETTh1,SegMoE,336,-2.288567726346274,0.5353943558625719,0.5476472182995222,0.5056120480765447,0.5127866768812056,Experiment37Selected,Experiment37Selected,,,,,,,,0.5353943558625719,0.5476472182995222,0.5056120480765447,0.5127866768812056,Experiment37Selected,Experiment37Selected,-0.01225286243695034,-2.288567726346274,0.0
ETTh1,SegMoE,720,-6.796242536964361,0.6573501804433955,0.7020252930235016,0.5717583618412764,0.5938950131121459,Experiment37Selected,Experiment37Selected,,,,,,,,0.6573501804433955,0.7020252930235016,0.5717583618412764,0.5938950131121459,Experiment37Selected,Experiment37Selected,-0.044675112580106036,-6.796242536964361,0.0
ETTh1,TimeMixer,96,-0.5672220089703875,0.3888394201434738,,0.4021625622588466,,Missing,Missing,0.3888394201434738,0.3910450029140804,0.4021625622588466,0.4048184387906245,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/adaptive_rescue_conditions.csv,-0.5672220089703875,0.0,0.3888394201434738,0.3910450029140804,0.4021625622588466,0.4048184387906245,HistoricalRecovery,HistoricalRecovery,-0.0022055827706066178,-0.5672220089703875,0.0
ETTh1,TimeMixer,192,-0.6401282353837575,0.4422553025672792,,0.4296011795462509,,Missing,Missing,0.4422553025672792,0.4450863036314942,0.4296011795462509,0.4358024347049911,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/integrated_48_condition_table.csv,-0.6401282353837575,0.0,0.4422553025672792,0.4450863036314942,0.4296011795462509,0.4358024347049911,HistoricalRecovery,HistoricalRecovery,-0.002831001064215022,-0.6401282353837575,0.0
ETTh1,TimeMixer,336,-1.5298776782571537,0.5179183060825632,,0.4746646362759863,,Missing,Missing,0.5179183060825632,0.5258418226389279,0.4746646362759863,0.4840476711889016,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/integrated_48_condition_table.csv,-1.5298776782571535,2.220446049250313e-16,0.5179183060825632,0.5258418226389279,0.4746646362759863,0.4840476711889016,HistoricalRecovery,HistoricalRecovery,-0.007923516556364696,-1.5298776782571535,2.220446049250313e-16
ETTh1,TimeMixer,720,-6.298939136888656,0.5121868419430764,,0.4847439881686903,,Missing,Missing,0.5121868419430764,0.5444491793842229,0.4847439881686903,0.5135535739534901,/data/dataset/strong_forecaster/three_backbone_integrated_evidence/integrated_48_condition_table.csv,-6.298939136888657,8.881784197001252e-16,0.5121868419430764,0.5444491793842229,0.4847439881686903,0.5135535739534901,HistoricalRecovery,HistoricalRecovery,-0.03226233744114648,-6.298939136888657,8.881784197001252e-16
ETTh1,iTransformer,96,-0.5041974883926799,0.3923034664381362,,0.4073341382510888,,Missing,Missing,0.3923034664381362,0.3942814506627947,0.4073341382510888,0.4107916909669764,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,-0.5041974883926799,0.0,0.3923034664381362,0.3942814506627947,0.4073341382510888,0.4107916909669764,HistoricalRecovery,HistoricalRecovery,-0.001977984224658502,-0.5041974883926799,0.0
ETTh1,iTransformer,192,-1.4587477596788287,0.4426393129427489,,0.4347371311961573,,Missing,Missing,0.4426393129427489,0.449096304003759,0.4347371311961573,0.4426688007809441,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,-1.4587477596788287,0.0,0.4426393129427489,0.449096304003759,0.4347371311961573,0.4426688007809441,HistoricalRecovery,HistoricalRecovery,-0.006456991061010109,-1.4587477596788287,0.0
ETTh1,iTransformer,336,-1.7858739625521758,0.4892628318326041,,0.4614567762732549,,Missing,Missing,0.4892628318326041,0.498000449354748,0.4614567762732549,0.4733257815919528,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,-1.7858739625521758,0.0,0.4892628318326041,0.498000449354748,0.4614567762732549,0.4733257815919528,HistoricalRecovery,HistoricalRecovery,-0.008737617522143915,-1.7858739625521758,0.0
ETTh1,iTransformer,720,-5.876000764600067,0.5065068663584659,,0.4928942498363393,,Missing,Missing,0.5065068663584659,0.5362692136984412,0.4928942498363393,0.5159122159523901,/data/dataset/strong_forecaster/cross_backbone_integrated_evidence/integrated_32_condition_table.csv,-5.876000764600066,8.881784197001252e-16,0.5065068663584659,0.5362692136984412,0.4928942498363393,0.5159122159523901,HistoricalRecovery,HistoricalRecovery,-0.029762347339975292,-5.876000764600066,8.881784197001252e-16
Electricity,PatchTST,96,0.839606424477914,0.1296379187669977,0.1285494704724705,0.2227903287574926,0.2227182700745092,Experiment37Selected,Experiment37Selected,0.1461493670305693,0.144746456672469,0.2427620335985437,0.2426022639463854,/data/dataset/strong_forecaster/relevance_to_forecasting_meta_analysis/all_48_conditions.csv,0.9599154526662215,0.12030902818830747,0.1296379187669977,0.1285494704724705,0.2227903287574926,0.2227182700745092,Experiment37Selected,Experiment37Selected,0.0010884482945272,0.8396064244779354,2.142730437526552e-14
