Dataset,Backbone,Conditions,Wins,Losses,Ties,SigKnownConditions,KnownSigWins,KnownSigLosses,MeanMSEGain_pct,MedianMSEGain_pct,MeanMAEGain_pct,AlphaConditions,ObservedMeanAlpha,OracleConditions,ObservedMeanOracleHeadroom_pct,MeanValidationGain_pct
Solar,PatchTST,4,4,0,0,0,,,1.5470450406425134,1.7569174747346614,0.7262436914969673,0,,0,,
Solar,iTransformer,4,4,0,0,0,,,12.049132532692873,11.869367923824889,2.2588373252513123,0,,0,,
Solar,TimeMixer,4,4,0,0,0,,,5.194139915557507,4.671865803459595,0.8981438965578152,0,,0,,
Solar,SegMoE,4,4,0,0,4,4.0,0.0,13.179044482417797,9.239497361926944,2.923197342472231,4,0.41090445159970135,4,29.760858590118087,
Weather,PatchTST,4,4,0,0,4,4.0,0.0,2.0255851605086983,2.165954865352301,0.8078835547721714,0,,4,17.263578352086952,
Weather,iTransformer,4,4,0,0,4,4.0,0.0,4.204754352622825,4.269150002731706,1.3458895229984282,0,,4,21.589043382365837,
Weather,TimeMixer,4,4,0,0,4,4.0,0.0,1.8144749438591738,1.625523654161086,0.5555028878137251,0,,4,17.40227657983101,
Weather,SegMoE,4,4,0,0,4,4.0,0.0,2.058731168669785,2.20030843166027,0.595599587065762,4,0.14704970563172648,4,17.192308205408835,
Electricity,PatchTST,4,3,1,0,4,3.0,0.0,0.35849888262104257,0.6333481148487973,-0.1434357832370047,4,0.024572275468607074,4,6.82140724111209,
Electricity,iTransformer,4,4,0,0,0,,,0.882489928544974,0.986716425955395,-0.1397229590804527,4,0.03191489033512427,4,7.723502058182055,
Electricity,TimeMixer,4,4,0,0,4,3.0,0.0,0.49177902488564673,0.41088445610434293,-0.10868262389428197,4,0.02490801472058782,4,6.338047509296016,
Electricity,SegMoE,4,4,0,0,4,4.0,0.0,0.3595774254903602,0.3200953964965178,-0.11641904176843418,4,0.008820182951229475,4,6.4088985123061875,
Traffic,PatchTST,4,4,0,0,4,3.0,0.0,0.03805965266165705,0.038899273755883104,-0.0216763468494239,4,0.006041639880736225,4,4.141366144750947,
Traffic,iTransformer,4,3,1,0,4,3.0,1.0,0.1491140129435341,0.252515444671743,0.22511323113764897,4,0.02191170452312255,4,4.581553593887047,
Traffic,TimeMixer,4,3,1,0,4,3.0,0.0,0.1177940509885026,0.1408540547373884,0.1336312811729308,4,0.027249848763340273,4,3.5333324341042083,
Traffic,SegMoE,4,4,0,0,4,4.0,0.0,0.0221327216525031,0.02312040136022315,-0.02991921245129855,4,0.00310033118818345,4,3.9017403344378723,
Exchange,PatchTST,4,0,0,4,0,,,0.0,0.0,0.0,0,,0,,
Exchange,iTransformer,4,0,0,4,0,,,0.0,0.0,0.0,0,,0,,
Exchange,TimeMixer,4,1,0,3,0,,,0.4419889985061861,0.0,0.22200647379010305,0,,0,,
Exchange,SegMoE,4,0,0,4,4,0.0,0.0,0.0,0.0,0.0,4,0.0,4,25.145972818550884,
ETTm1,PatchTST,4,2,2,0,4,0.0,1.0,-0.2148856398126293,0.07511028000314765,-0.29450748181760134,0,,4,14.58329596582847,
ETTm1,iTransformer,4,3,1,0,4,2.0,0.0,0.6234501019913288,0.588145942737462,0.22892232660654888,0,,4,15.144922343180156,
ETTm1,TimeMixer,4,2,2,0,4,1.0,1.0,-0.11058319295636689,0.00787252776171695,-0.02323974281063628,0,,4,11.714435077099386,
ETTm1,SegMoE,4,0,4,0,4,0.0,3.0,-0.45512679589791516,-0.4080775522464678,-0.43960864302754155,4,0.05682129879727707,4,10.975949722134589,
ETTh1,PatchTST,4,0,4,0,4,0.0,4.0,-2.041456207287231,-1.571836792436274,-2.0375970017007377,0,,4,5.630589656548379,
ETTh1,iTransformer,4,0,4,0,4,0.0,3.0,-2.4062049938059378,-1.6223108611155022,-2.4788332323972133,0,,4,7.063617291580119,
ETTh1,TimeMixer,4,0,4,0,4,0.0,3.0,-2.2590417648749885,-1.0850029568204556,-2.5059798372121147,0,,4,7.085329420564986,
ETTh1,SegMoE,4,0,4,0,4,0.0,4.0,-3.1005329427845894,-2.27651876577707,-1.9125773402521649,4,0.11861303670098045,4,8.395214450127053,

