Dataset,Horizon,Pattern,CandidatePrior,Learned,Shuffled,Sig_RetrievalGain,Sig_QuerySpecificGain,RetrievalGain_pct,QuerySpecificGain_pct,PriorGain_pct,DownstreamMeanGain_pct,DownstreamMedianGain_pct,DownstreamWins,DownstreamLosses,DownstreamTies,PatchTST_Gain_pct,iTransformer_Gain_pct,TimeMixer_Gain_pct,SegMoE_Gain_pct
ETTh1,96,1.195878,1.2183,0.995375,1.387354,True,True,16.766175144956257,28.253711741920227,-1.8749404203438762,-0.803750316413117,-0.8100368557951214,0,4,0,-1.0907300656695451,-0.5041974883926799,-0.5672220089703875,-1.0528517026198552
ETTh1,192,1.383055,1.292313,1.160534,1.537791,True,True,16.089092624660623,24.532397445426586,6.560982751951287,-1.5100314294970925,-1.5677638386983728,0,4,0,-1.6767799177179168,-1.4587477596788287,-0.6401282353837575,-2.2644698052078662
ETTh1,336,1.556203,1.356678,1.332749,1.610606,True,True,14.35892361086568,17.251705258765956,12.821270746811306,-1.7678032585775587,-1.6578758204046649,0,4,0,-1.466893667154631,-1.7858739625521758,-1.5298776782571537,-2.288567726346274
ETTh1,720,1.737053,1.490594,1.532154,1.78954,True,True,11.795782857517874,14.382802284385926,14.188340827827359,-5.725650904264979,-6.087469950744362,0,4,0,-3.931421178606831,-5.876000764600067,-6.298939136888656,-6.796242536964361
Weather,96,0.913355,0.25785,0.806514,0.627484,True,False,11.697642209217673,-28.531404784823184,71.76891789063397,2.00445138179582,1.4019655855252173,4,0,0,1.503275177115733,4.201640517278116,1.0122338388547292,1.3006559939347015
Weather,192,0.962618,0.320045,0.877885,0.786918,True,False,8.802349426252153,-11.559908402146096,66.75264746763513,2.534368728433882,2.0787724150341687,4,0,0,2.203906908701543,4.471502166601046,1.508427917066144,1.9536379213667945
Weather,336,1.100516,0.406713,0.980122,0.968104,True,False,10.939777340811037,-1.2413955525439504,63.04342690156254,2.7200216077699206,2.4004037758191794,4,0,0,2.26715573421446,4.336659488185296,1.7426193912560282,2.533651817423899
Weather,720,1.273764,0.524525,1.157938,1.140886,True,False,9.093207218919675,-1.4946278594004874,58.82086477557852,2.8447039076608593,2.7207987851067696,4,0,0,2.128002822003059,3.80921523842684,2.9946186282597944,2.446978941953745
Electricity,96,0.477137,0.41176,0.392364,0.554495,True,True,17.767014505267877,29.23939801080262,13.70193466446743,0.7962597550008317,0.679520951844533,4,0,0,0.839606424477914,1.4666028521562668,0.3593942641579941,0.519435479211152
Electricity,192,0.482181,0.417895,0.408721,0.550554,True,True,15.234942894888023,25.761868953817423,13.332337856531055,0.537338185215802,0.4540920753280569,4,0,0,0.445809502605422,0.962485160449841,0.4623746480506918,0.2786834297572532
