Dataset,Backbone,Horizon,MSEGain_pct,Final_CI_Low,Final_CI_High,SignClass,SignificanceSource
ETTh1,PatchTST,96,-1.0907300656695451,-0.0062884906441294,-0.0020740014532684,negative,Experiment37Selected
ETTh1,PatchTST,192,-1.6767799177179168,-0.0093494531229919,-0.0042591942637028,negative,Experiment37Selected
ETTh1,PatchTST,336,-1.466893667154631,-0.0083307668865312,-0.0044928507604919,negative,Experiment37Selected
ETTh1,PatchTST,720,-3.931421178606831,-0.0221135735784151,-0.0142287637564331,negative,Experiment37Selected
ETTh1,SegMoE,96,-1.0528517026198552,-0.0066341444897456,-0.0022601129877654,negative,Experiment37Selected
ETTh1,SegMoE,192,-2.2644698052078662,-0.0136796182184957,-0.0080552567520848,negative,Experiment37Selected
ETTh1,SegMoE,336,-2.288567726346274,-0.0149818720175865,-0.0093203131248044,negative,Experiment37Selected
ETTh1,SegMoE,720,-6.796242536964361,-0.0510399621023885,-0.038125011280015,negative,Experiment37Selected
ETTh1,TimeMixer,96,-0.5672220089703875,-0.003479784111922,-0.0008902595711193,negative,Experiment37Selected
ETTh1,TimeMixer,192,-0.6401282353837575,-0.0063266554514175,0.0012694569553261,nonsignificant,Experiment37Selected
ETTh1,TimeMixer,336,-1.5298776782571537,-0.0117247207541831,-0.0040465265901828,negative,Experiment37Selected
ETTh1,TimeMixer,720,-6.298939136888656,-0.0392437507120451,-0.0251743536792464,negative,Experiment37Selected
ETTh1,iTransformer,96,-0.5041974883926799,-0.0042857081927961,0.0004483436554322,nonsignificant,Experiment37Selected
ETTh1,iTransformer,192,-1.4587477596788287,-0.0095148248674868,-0.0028942879671753,negative,Experiment37Selected
ETTh1,iTransformer,336,-1.7858739625521758,-0.0126721965439602,-0.0045959066848448,negative,Experiment37Selected
ETTh1,iTransformer,720,-5.876000764600067,-0.0357953809577521,-0.0236114886063136,negative,Experiment37Selected
Electricity,PatchTST,96,0.839606424477914,0.0006280292569148,0.0016438898432274,positive,Experiment37Selected
Electricity,PatchTST,192,0.445809502605422,0.0003202408222927,0.0010738589266793,positive,Experiment37Selected
Electricity,PatchTST,336,0.8208867270921726,0.0010078441653835,0.0017841751757006,positive,Experiment37Selected
Electricity,PatchTST,720,-0.6723071236913386,-0.0031200680794779,0.0004544456200409,nonsignificant,Experiment37Selected
Electricity,SegMoE,96,0.519435479211152,0.0004529985469213,0.0009459846651782,positive,Experiment37Selected
Electricity,SegMoE,192,0.2786834297572532,0.0002957525040052,0.0005549872147085,positive,Experiment37Selected
Electricity,SegMoE,336,0.2930292734090838,0.0003482458153124,0.0006380187122501,positive,Experiment37Selected
Electricity,SegMoE,720,0.3471615195839518,0.0001603783721724,0.0013123990763187,positive,Experiment37Selected
